symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TTM,2016-04-25 00:00:00+00:00,30.56,30.99,30.28,30.93,1053886,30.5498770239,30.9797345867,30.2699697736,30.9197544617,1053886,0.0,1.0
TTM,2016-04-26 00:00:00+00:00,31.55,31.56,31.08,31.15,1165119,31.5395490871,31.5495457746,31.0697047743,31.1396815868,1165119,0.0,1.0
TTM,2016-04-27 00:00:00+00:00,31.37,31.69,31.25,31.48,946153,31.359608712,31.6795027122,31.2396484619,31.4695722746,946153,0.0,1.0
TTM,2016-04-28 00:00:00+00:00,30.71,31.24,30.62,31.03,762514,30.6998273365,31.2296517744,30.6098571489,31.0197213367,762514,0.0,1.0
TTM,2016-04-29 00:00:00+00:00,30.38,30.7,30.21,30.59,838738,30.3699366487,30.689830649,30.1999929611,30.5798670864,838738,0.0,1.0
TTM,2016-05-02 00:00:00+00:00,30.5,30.675,30.29,30.54,742107,30.4898968988,30.6648389302,30.2799664612,30.5298836489,742107,0.0,1.0
TTM,2016-05-03 00:00:00+00:00,30.1,30.55,29.98,30.55,1548806,30.0900293985,30.5398803364,29.9700691484,30.5398803364,1548806,0.0,1.0
TTM,2016-05-04 00:00:00+00:00,28.38,28.7,28.04,28.68,1840061,28.3705991472,28.6904931474,28.0307117719,28.6704997724,1840061,0.0,1.0
TTM,2016-05-05 00:00:00+00:00,29.02,29.19,28.78,29.01,1313657,29.0103871477,29.1803308353,28.7704666475,29.0003904602,1313657,0.0,1.0
TTM,2016-05-06 00:00:00+00:00,29.58,29.86,29.4989,29.53,1321227,29.5702016481,29.8501088983,29.4891285124,29.5202182106,1321227,0.0,1.0
TTM,2016-05-09 00:00:00+00:00,29.49,30.0,29.26,29.83,1539464,29.4802314605,29.9900625234,29.2503076479,29.8201188358,1539464,0.0,1.0
TTM,2016-05-10 00:00:00+00:00,29.05,29.19,28.67,29.05,1828105,29.0403772102,29.1803308353,28.6605030849,29.0403772102,1828105,0.0,1.0
TTM,2016-05-11 00:00:00+00:00,28.15,28.5162,28.045,28.43,1656166,28.1406753345,28.506754031,28.0357101157,28.4205825847,1656166,0.0,1.0
TTM,2016-05-12 00:00:00+00:00,28.77,28.94,28.58,28.68,1057288,28.76046996,28.9304136476,28.5705328973,28.6704997724,1057288,0.0,1.0
TTM,2016-05-13 00:00:00+00:00,28.77,29.37,28.745,28.92,1138762,28.76046996,29.3602712104,28.7354782412,28.9104202726,1138762,0.0,1.0
TTM,2016-05-16 00:00:00+00:00,29.3,29.415,29.085,29.11,977442,29.2902943979,29.4052563042,29.0753656165,29.1003573352,977442,0.0,1.0
TTM,2016-05-17 00:00:00+00:00,28.23,28.95,27.97,28.83,2059055,28.2206488345,28.9404103351,27.9607349593,28.820450085,2059055,0.0,1.0
TTM,2016-05-18 00:00:00+00:00,28.59,28.85,28.16,28.26,1449483,28.5805295848,28.84044346,28.150672022,28.2506388971,1449483,0.0,1.0
TTM,2016-05-19 00:00:00+00:00,28.44,28.61,28.14,28.34,1068252,28.4305792722,28.6005229598,28.130678647,28.3306123971,1068252,0.0,1.0
TTM,2016-05-20 00:00:00+00:00,28.74,28.81,28.28,28.32,935573,28.7304798974,28.80045671,28.2706322721,28.3106190221,935573,0.0,1.0
TTM,2016-05-23 00:00:00+00:00,28.05,28.37,27.9535,28.3,1182215,28.0407084594,28.3606024597,27.944240425,28.2906256471,1182215,0.0,1.0
TTM,2016-05-24 00:00:00+00:00,29.15,29.24,28.5,28.6,2177455,29.1403440853,29.2303142728,28.4905593973,28.5905262723,2177455,0.0,1.0
TTM,2016-05-25 00:00:00+00:00,29.82,29.87,29.34,29.34,1083999,29.8101221483,29.8601055858,29.3302811479,29.3302811479,1083999,0.0,1.0
TTM,2016-05-26 00:00:00+00:00,29.73,29.85,29.5,29.7,933551,29.7201519607,29.8401122108,29.490228148,29.6901618982,933551,0.0,1.0
TTM,2016-05-27 00:00:00+00:00,29.8,30.14,29.59,30.0,1543258,29.7901287733,30.1300161485,29.5801983356,29.9900625234,1543258,0.0,1.0
TTM,2016-05-31 00:00:00+00:00,33.49,33.98,33.4,33.44,7452598,33.4789064637,33.9687441515,33.3889362761,33.4289230261,7452598,0.0,1.0
TTM,2016-06-01 00:00:00+00:00,33.32,33.505,32.62,32.8,1658812,33.308962776,33.4939014949,32.6091946505,32.7891350256,1658812,0.0,1.0
TTM,2016-06-02 00:00:00+00:00,34.17,34.19,33.18,33.3,1407072,34.1586812142,34.1786745892,33.1690091509,33.288969401,1407072,0.0,1.0
TTM,2016-06-03 00:00:00+00:00,34.28,34.37,33.64,33.94,1284228,34.2686447768,34.3586149643,33.6288567763,33.9287574015,1284228,0.0,1.0
TTM,2016-06-06 00:00:00+00:00,34.92,35.0,34.38,34.41,1751254,34.9084327773,34.9884062773,34.3686116518,34.3986017144,1751254,0.0,1.0
TTM,2016-06-07 00:00:00+00:00,35.25,35.42,34.79,34.92,1734692,35.238323465,35.4082671527,34.7784758397,34.9084327773,1734692,0.0,1.0
TTM,2016-06-08 00:00:00+00:00,35.6,35.6,34.9,35.2,2277118,35.5882075278,35.5882075278,34.8884394023,35.1883400275,2277118,0.0,1.0
